2026/07/19 14:57:04 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:05 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:06 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:07 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:08 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:09 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:10 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:11 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:12 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:13 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:14 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:15 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:16 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:17 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:18 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:19 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:20 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:21 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:22 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:23 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:24 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:25 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:26 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:27 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:28 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:29 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:30 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:31 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:32 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:33 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:34 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:35 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:36 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:37 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:38 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:39 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:40 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:41 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:42 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:43 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:44 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:45 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:46 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:47 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:48 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:49 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:50 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:51 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:52 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:53 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:54 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:55 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:56 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:57 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:58 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:57:59 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:00 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:01 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:02 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:03 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:04 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:05 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:06 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:07 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:08 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:09 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:10 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:11 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:12 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:13 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:14 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:15 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:16 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:17 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:18 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:19 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:20 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:21 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:22 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:23 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:24 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:25 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:26 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:27 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:28 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:29 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:30 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:31 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:32 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:33 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:34 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:35 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:36 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:37 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:38 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:39 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:40 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:41 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:42 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:43 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:44 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:45 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:46 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:47 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:48 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:49 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:50 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:51 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:52 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:53 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:54 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:55 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:56 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:57 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:58 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:58:59 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:00 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:01 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:02 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:03 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:04 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:05 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:06 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:07 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:08 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:09 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:10 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:11 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:12 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:13 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:14 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:15 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:16 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:17 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:18 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:19 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:20 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:21 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
2026/07/19 14:59:22 INFO  :           0 B / 19.585 GiB, 0%, 0 B/s, ETA -
